voltage_level[V],width[percent],input[V],output[V],std_input[V],std_output[V]
4.0,20.0,0.6929228971976743,0.6681675715697675,9.936566889693808e-05,9.452132495197075e-05
4.0,30.0,1.2112755901162793,1.1727528101162787,0.0004590998654054902,7.698533473349661e-05
4.0,40.0,1.6080256549999996,1.5529280626744184,0.00022709182709702857,8.324789195988959e-05
4.0,50.0,1.9668909423255816,1.898188608604651,0.00018673092620923734,7.554453434245027e-05
4.0,60.0,2.325297174883721,2.243358951627907,0.00013714788502964016,9.020932599160737e-05
4.0,70.0,2.718875844302326,2.6225931846511625,0.00014708704566063796,9.916475015815416e-05
4.0,80.0,3.239214804069767,3.1241034961627907,0.00016071078024179454,0.0001248028677404843
5.0,20.0,0.8647310517558139,0.8348172808604651,0.00014596957203639872,7.018900428129543e-05
5.0,30.0,1.5170784254651162,1.4655656190697677,0.0002035816100321713,7.665974752695022e-05
5.0,40.0,2.0110973490697672,1.9407761919767441,0.00021596441431041353,8.81013409479187e-05
5.0,50.0,2.4592513675581396,2.3724529879069762,0.00020101648114000218,0.0001366322142373458
5.0,60.0,2.9069246246511633,2.803875171744186,0.00017061307172399067,0.0001042154658378782
5.0,70.0,3.3990415229069764,3.2781420958139535,0.00018085943940358466,0.00014324212736973585
5.0,80.0,4.049313716395349,3.904937913139535,0.00019622318902711659,0.0001512175770211528
6.0,20.0,1.0387266560465116,1.0013612774418605,0.0006163821141131749,0.00012079903308529651
6.0,30.0,1.8215785804651163,1.7582553669767442,0.00015599526402150897,6.90852738581437e-05
6.0,40.0,2.4136035838372094,2.328470316395349,0.00018083069866909972,9.588155614966929e-05
6.0,50.0,2.9511240908139538,2.846449337441861,0.00019155350386387043,0.00013446795311585448
6.0,60.0,3.4883440417441856,3.36423774244186,0.0001823857766980081,0.00012182012697585837
6.0,70.0,4.078483415813954,3.9330627973255816,0.0001632401798624303,0.00010627482255624887
6.0,80.0,4.859058084418604,4.685426914069768,0.00015537218336780605,0.0001478384687406024
7.0,20.0,1.2048154481395348,1.1676590736046513,0.01316566171143474,0.00022646871014455456
7.0,30.0,2.1254515956976747,2.050808250697674,0.00014971341628213408,0.00012506239834189956
7.0,40.0,2.815903065232558,2.71614960372093,0.00024079697771365246,0.0001745316874349913
7.0,50.0,3.4429801339534887,3.3204861794186042,0.00015964909666368166,0.0001033681941633967
7.0,60.0,4.069659856744186,3.9245056745348834,0.00019137360305940065,0.00013881218599836258
7.0,70.0,4.758215826976744,4.5882466463953495,0.00016727890375928768,0.00011746294166225954
7.0,80.0,5.668495476279069,5.4657344322093016,0.00028487376355144825,0.00024600884053357534
8.0,20.0,1.3798482518604651,1.3341241941860464,0.0003364620909552915,0.00015466310877773422
8.0,30.0,2.4291793940697675,2.3434249634883715,0.00013280248924017992,0.00011725854310136403
8.0,40.0,3.218031965930233,3.1036460482558144,0.0001722814388924924,0.00012403530376391223
8.0,50.0,3.934437525232559,3.7941858406976747,0.00019585479968845047,0.00013878182218302602
8.0,60.0,4.650586786976744,4.484490068139535,0.00019431520089198783,0.0001615198003659285
8.0,70.0,5.4372637284883725,5.242786770813952,0.00020194146891899982,0.00017805131572261318
8.0,80.0,6.478053276279069,6.246084603953486,0.00028605324106099726,0.00025810435466443546
9.0,20.0,1.5531921053488371,1.500253991744186,0.00030419349515428175,0.00016948094816093964
9.0,30.0,2.7325180943023253,2.6356956623255816,0.00016462033533147229,0.0001321447812324732
9.0,40.0,3.6197352286046502,3.4907991076744187,0.00017823026687471865,0.00014238046966624053
9.0,50.0,4.425735927441861,4.267671441976744,0.00019308625453488712,0.00017863234597992835
9.0,60.0,5.2312249595348845,5.0441154120930225,0.00022793147383212554,0.00021343365497631078
9.0,70.0,6.11632104372093,5.897314638604651,0.00014978978101777592,0.00012582920270670685
9.0,80.0,7.287041629534884,7.025956396976745,0.0002880304032819122,0.0002765217697084057
10.0,20.0,1.726555841976744,1.6668426090697674,0.0003167995932452588,0.00023714751750010743
10.0,30.0,3.036167644186046,2.928356705930233,0.00024079228221388798,0.00015555104553827416
10.0,40.0,4.021910175232558,3.878444176627907,0.00021934936871714563,0.00014614789071167012
10.0,50.0,4.917375586395348,4.741573227441859,0.00018855156627552283,0.00014313629467404057
10.0,60.0,5.812310387906977,5.604208087093023,0.00017881762977596202,0.00020011224253032317
